event_id,event_date,latitude,longitude,state,rainfall_1d,rainfall_3d,rainfall_7d,rainfall_15d,rainfall_30d,soil_moisture,soil_moisture_anomaly,elevation,slope,aspect,curvature,landslide,sample_type
APDA-NEG-00838,2017-06-13,24.0,93.75,Manipur,11.81,57.55,77.82,183.44,251.99,0.82,2.1333,938.27,22.91,215.12,-0.015373,0,negative
3560,2011-05-31,24.829,93.594,Manipur,15.72,45.38,50.95,198.72,265.15,0.84,2.0655,763.36,33.84,2.17,-0.001891,1,positive
APDA-NEG-00193,2011-06-29,25.5,90.625,Assam,28.72,133.4,228.49,285.39,371.67,0.91,2.7333,263.81,5.53,161.64,-0.002985,0,negative
APDA-NEG-00954,2017-07-08,25.0,93.125,Manipur,19.01,42.0,98.15,249.49,503.91,0.96,3.0667,275.9,30.23,93.66,-0.002097,0,negative
APDA-NEG-00087,2016-07-16,28.0,95.0,Arunachal Pradesh,27.02,91.06,144.17,243.28,543.3,0.94,2.9333,784.15,2.6,262.83,-0.001803,0,negative
14071,2018-08-14,31.055,77.024,Himachal Pradesh,2.33,118.81,138.87,225.64,413.76,0.84,1.3174,1316.74,25.22,221.44,-0.000901,1,positive
APDA-NEG-01545,2011-06-29,29.0,79.375,Uttarakhand,31.28,65.83,95.75,120.02,174.31,0.6,0.6667,215.32,0.43,292.55,0.001399,0,negative
APDA-NEG-01510,2013-07-25,31.0,79.375,Uttarakhand,2.26,10.63,49.78,88.78,161.2,0.84,2.2667,5085.99,17.29,81.7,0.00088,0,negative
2421,2010-09-13,23.754,92.741,Mizoram,11.41,19.1,46.34,102.33,235.41,0.88,0.5627,997.91,23.68,101.22,-0.019488,1,positive
APDA-NEG-01404,2007-09-09,27.5,88.75,Sikkim,4.57,31.94,86.85,121.17,226.12,0.88,2.5333,3955.2,32.18,303.05,-0.003542,0,negative
5442,2013-09-02,27.161,93.753,Arunachal Pradesh,40.7,70.95,160.05,214.7,439.7,0.95,1.3938,145.58,3.3,150.02,-0.001204,1,positive
APDA-NEG-01630,2015-04-30,30.5,77.5,Uttarakhand,4.95,5.66,7.03,10.01,55.61,0.46,-0.2667,425.48,0.38,300.89,0.001817,0,negative
APDA-NEG-00659,2017-03-22,32.5,78.125,Himachal Pradesh,0.0,0.0,7.88,42.3,70.4,0.49,-0.0667,5364.12,23.0,184.14,0.001507,0,negative
4481,2012-08-17,30.659,79.561,Uttarakhand,21.94,49.22,94.13,209.01,329.0,0.86,0.8215,3396.37,45.68,238.34,-0.003467,1,positive
5429,2013-09-01,27.343,88.243,Sikkim,4.12,12.85,49.72,90.66,273.75,0.91,0.8116,1411.31,30.11,266.62,-0.004302,1,positive
3820,2011-07-21,30.167,78.112,Uttarakhand,5.37,70.18,162.89,230.74,459.71,0.83,1.3613,466.45,1.04,307.15,0.000822,1,positive
APDA-NEG-00179,2010-06-15,27.0,94.375,Assam,53.88,100.35,155.6,292.66,414.44,0.91,2.7333,86.0,0.0,0.0,0.0,0,negative
2048,2010-07-07,32.66,76.853,Himachal Pradesh,2.28,33.99,52.76,77.49,100.91,0.59,-0.478,3669.16,26.56,351.12,-0.000819,1,positive
481,2008-03-17,32.286,77.161,Himachal Pradesh,0.0,0.0,0.7,0.74,2.1,0.61,-0.6957,2371.35,36.11,11.61,0.001903,1,positive
9859,2016-08-16,31.581,78.413,Himachal Pradesh,3.49,10.59,48.43,122.6,257.35,0.86,1.2119,2224.63,26.54,159.82,-0.007089,1,positive
9010,2016-07-16,27.303,93.804,Arunachal Pradesh,39.81,124.73,205.07,334.37,556.02,0.97,1.5832,734.51,30.72,70.68,0.003837,1,positive
1934,2010-06-03,24.601,92.381,Assam,54.42,121.7,190.57,371.99,565.7,0.93,1.3068,79.06,17.95,266.52,-0.004817,1,positive
APDA-NEG-00829,2011-07-22,24.5,94.375,Manipur,5.5,39.36,128.4,198.77,348.17,0.89,2.6,319.22,17.67,30.12,-0.00491,0,negative
APDA-NEG-01172,2016-06-14,27.0,95.0,Nagaland,7.48,48.59,76.75,95.33,259.23,0.81,2.0667,117.36,3.0,28.88,0.00233,0,negative
5214,2013-07-27,31.893,78.63,Himachal Pradesh,0.26,1.65,17.97,73.42,123.57,0.73,2.1145,3633.51,16.93,269.76,-0.003738,1,positive
APDA-NEG-01384,2010-07-21,27.15,88.8,Sikkim,16.76,82.21,174.28,305.23,545.35,0.92,2.8,1594.02,19.03,313.44,-0.001078,0,negative
APDA-NEG-00202,2008-10-29,26.5,94.375,Assam,0.0,14.01,30.02,30.02,87.35,0.85,2.3333,307.93,20.68,270.76,-0.012984,0,negative
APDA-NEG-00743,2018-10-09,33.0,77.5,Himachal Pradesh,0.01,0.04,0.04,10.47,105.54,0.7,1.3333,5155.49,22.24,314.26,0.012153,0,negative
APDA-NEG-01440,2018-08-30,30.5,80.0,Uttarakhand,1.81,11.83,48.35,70.29,144.27,0.75,1.6667,5403.64,16.29,342.16,0.008133,0,negative
APDA-NEG-01352,2007-05-23,27.15,88.8,Sikkim,0.26,4.04,46.69,107.95,154.12,0.49,-0.0667,1594.02,19.03,313.44,-0.001078,0,negative
APDA-NEG-00142,2014-06-27,28.0,93.75,Arunachal Pradesh,28.12,46.89,97.24,180.76,287.38,0.84,2.2667,576.05,30.81,45.85,0.021021,0,negative
APDA-NEG-01356,2018-09-15,28.0,88.75,Sikkim,2.52,8.25,38.51,84.02,211.04,0.91,2.7333,5096.07,0.2,324.18,-0.000309,0,negative
10977,2017-04-04,25.482,93.142,Assam,16.99,84.74,221.09,227.93,269.38,0.86,3.4122,161.9,4.33,321.09,1.9e-05,1,positive
