event_id,event_date,latitude,longitude,state,source_catalog,source_dataset,sample_type,rainfall_1d,rainfall_3d,rainfall_7d,rainfall_15d,rainfall_30d,soil_moisture,soil_moisture_anomaly,elevation,slope,aspect,curvature,landslide
APDA-NEG-00069,2015-06-09,28.0,93.75,Arunachal Pradesh,Background_Sampling,Copernicus_NASA_Background,negative,51.99,124.3,202.09,330.12,505.84,0.93,2.8667,576.05,30.81,45.85,0.021021,0
APDA-NEG-00070,2010-09-10,28.5,95.625,Arunachal Pradesh,Background_Sampling,Copernicus_NASA_Background,negative,47.91,135.67,230.46,316.54,569.0,0.97,3.1333,2215.04,37.28,283.93,-0.000253,0
APDA-NEG-00071,2015-07-15,28.5,95.625,Arunachal Pradesh,Background_Sampling,Copernicus_NASA_Background,negative,22.66,43.21,64.94,150.67,327.78,0.91,2.7333,2215.04,37.28,283.93,-0.000253,0
APDA-NEG-00072,2014-08-17,28.5,95.625,Arunachal Pradesh,Background_Sampling,Copernicus_NASA_Background,negative,3.75,30.65,157.34,269.08,403.2,0.94,2.9333,2215.04,37.28,283.93,-0.000253,0
APDA-NEG-00073,2015-08-16,28.5,95.625,Arunachal Pradesh,Background_Sampling,Copernicus_NASA_Background,negative,26.34,61.38,99.17,209.15,326.27,0.92,2.8,2215.04,37.28,283.93,-0.000253,0
APDA-NEG-00074,2016-05-01,28.0,95.0,Arunachal Pradesh,Background_Sampling,Copernicus_NASA_Background,negative,11.57,26.97,46.97,195.04,420.28,0.86,2.4,784.15,2.6,262.83,-0.001803,0
APDA-NEG-00075,2015-08-18,28.0,93.75,Arunachal Pradesh,Background_Sampling,Copernicus_NASA_Background,negative,17.22,50.22,86.43,189.27,315.4,0.9,2.6667,576.05,30.81,45.85,0.021021,0
APDA-NEG-00076,2017-07-11,27.0,94.375,Arunachal Pradesh,Background_Sampling,Copernicus_NASA_Background,negative,29.53,155.45,235.23,438.25,666.9,0.97,3.1333,86.0,0.0,0.0,0.0,0
APDA-NEG-00077,2016-04-22,28.0,93.75,Arunachal Pradesh,Background_Sampling,Copernicus_NASA_Background,negative,12.79,80.26,120.08,180.46,241.05,0.82,2.1333,576.05,30.81,45.85,0.021021,0
APDA-NEG-00078,2014-08-17,29.0,95.625,Arunachal Pradesh,Background_Sampling,Copernicus_NASA_Background,negative,5.45,19.86,100.6,140.32,199.52,0.87,2.4667,2967.53,32.82,99.99,-0.011499,0
APDA-NEG-00079,2016-04-23,29.0,96.25,Arunachal Pradesh,Background_Sampling,Copernicus_NASA_Background,negative,6.77,35.73,48.85,98.77,150.82,0.83,2.2,4424.4,28.85,66.8,0.001741,0
APDA-NEG-00080,2016-07-16,28.0,95.0,Arunachal Pradesh,Background_Sampling,Copernicus_NASA_Background,negative,27.02,91.06,144.17,243.28,543.3,0.94,2.9333,784.15,2.6,262.83,-0.001803,0
APDA-NEG-00081,2016-05-01,29.0,96.25,Arunachal Pradesh,Background_Sampling,Copernicus_NASA_Background,negative,3.5,8.98,21.42,78.62,172.36,0.84,2.2667,4424.4,28.85,66.8,0.001741,0
APDA-NEG-00082,2015-06-09,28.5,95.625,Arunachal Pradesh,Background_Sampling,Copernicus_NASA_Background,negative,57.27,132.33,191.86,320.68,497.06,0.95,3.0,2215.04,37.28,283.93,-0.000253,0
APDA-NEG-00083,2016-06-13,27.0,94.375,Arunachal Pradesh,Background_Sampling,Copernicus_NASA_Background,negative,17.51,45.69,73.8,98.38,281.28,0.81,2.0667,86.0,0.0,0.0,0.0,0
APDA-NEG-00084,2016-08-05,28.5,95.625,Arunachal Pradesh,Background_Sampling,Copernicus_NASA_Background,negative,0.72,0.87,2.58,319.99,614.62,0.89,2.6,2215.04,37.28,283.93,-0.000253,0
APDA-NEG-00085,2016-07-01,29.0,96.25,Arunachal Pradesh,Background_Sampling,Copernicus_NASA_Background,negative,7.84,40.42,52.94,136.17,206.08,0.89,2.6,4424.4,28.85,66.8,0.001741,0
APDA-NEG-00086,2008-06-14,28.5,95.625,Arunachal Pradesh,Background_Sampling,Copernicus_NASA_Background,negative,17.75,50.88,128.84,212.33,376.57,0.86,2.4,2215.04,37.28,283.93,-0.000253,0
APDA-NEG-00087,2016-07-16,28.0,95.0,Arunachal Pradesh,Background_Sampling,Copernicus_NASA_Background,negative,27.02,91.06,144.17,243.28,543.3,0.94,2.9333,784.15,2.6,262.83,-0.001803,0
APDA-NEG-00088,2011-07-19,29.0,95.625,Arunachal Pradesh,Background_Sampling,Copernicus_NASA_Background,negative,5.42,51.79,109.41,157.82,215.88,0.82,2.1333,2967.53,32.82,99.99,-0.011499,0
APDA-NEG-00089,2016-07-19,28.5,95.625,Arunachal Pradesh,Background_Sampling,Copernicus_NASA_Background,negative,22.72,110.99,192.82,254.38,586.89,0.96,3.0667,2215.04,37.28,283.93,-0.000253,0
APDA-NEG-00090,2011-08-05,27.0,94.375,Arunachal Pradesh,Background_Sampling,Copernicus_NASA_Background,negative,19.68,45.02,56.63,219.97,523.01,0.92,2.8,86.0,0.0,0.0,0.0,0
APDA-NEG-00091,2016-07-28,29.0,95.625,Arunachal Pradesh,Background_Sampling,Copernicus_NASA_Background,negative,1.39,5.12,131.47,233.34,372.43,0.94,2.9333,2967.53,32.82,99.99,-0.011499,0
APDA-NEG-00092,2017-04-26,29.0,95.625,Arunachal Pradesh,Background_Sampling,Copernicus_NASA_Background,negative,15.28,75.71,86.05,95.74,156.62,0.83,2.2,2967.53,32.82,99.99,-0.011499,0
APDA-NEG-00093,2016-08-05,27.0,94.375,Arunachal Pradesh,Background_Sampling,Copernicus_NASA_Background,negative,9.49,15.73,26.49,195.22,402.17,0.9,2.6667,86.0,0.0,0.0,0.0,0
APDA-NEG-00094,2010-04-03,28.0,93.75,Arunachal Pradesh,Background_Sampling,Copernicus_NASA_Background,negative,8.44,23.51,52.38,111.57,117.58,0.72,1.4667,576.05,30.81,45.85,0.021021,0
APDA-NEG-00095,2016-08-16,29.0,96.25,Arunachal Pradesh,Background_Sampling,Copernicus_NASA_Background,negative,3.41,5.52,9.01,20.41,191.77,0.85,2.3333,4424.4,28.85,66.8,0.001741,0
